Date,Site ID,Call Setup Success Rate ,CSFB Preparation Success Rate,DL Traffic In GB,UL Traffic In GB,Total Traffic in GB,Average User Throughput in DownLink In Mbps,Average User Throughput in UpLink In Mbps,Average DL PDCP Throughput In Mbps,Average UL PDCP Throughput In Mbps,PS Drop Call Rate,Average Number of Users in a Cell,Intra Frequency HOSR,Inter Frequency HOSR,Cell_Availability,DL BLER ,DL PRB Utilization ,UL PRB Utilization 
09-11-2025,Site_4,99.79176316,99.82918757,383.377834,62.07286775,445.4507017,13.36034719,0.538137222,11.99829423,1.621089903,0.113445364,12.71225405,98.89240766,98.77089024,100,6.717375519,26.06177311,13.14603891
09-11-2025,Site_2,99.85108724,99.98694347,713.4500841,93.59940553,807.0494896,18.28710567,0.398085913,13.82869376,1.525733029,0.105345703,15.15871528,99.13493946,99.70557709,100,6.840000103,27.26005587,15.69784901
09-11-2025,Site_5,99.8253617,98.7673584,380.1952246,70.49054098,450.6857656,21.13992104,1.364710447,13.98771727,2.625918805,0.083615592,23.94477238,98.6309884,99.93868792,100,5.999325094,25.27784614,12.5343396
10-11-2025,Site_4,99.74518051,99.67565376,424.3848987,64.17311275,488.5580114,14.17671089,0.639716053,12.73481692,1.698571572,0.102297501,12.85017361,99.12742405,99.16115944,100,6.85790014,27.55102838,12.61612154
10-11-2025,Site_5,99.87036155,99.83116664,388.8018847,72.84048128,461.6423659,19.67232053,1.271315421,13.97916141,2.693573818,0.075314904,23.42360147,98.81531589,99.91371252,100,6.002337795,26.25580613,12.99379102
10-11-2025,Site_2,99.84403487,99.9875498,695.526245,91.87924755,787.4054925,18.49774897,0.40321771,13.95595349,1.573284973,0.093950011,14.95447917,99.05223931,99.69356219,100,6.717533545,27.33463848,15.44982882
10-11-2025,Site_3,99.76710417,99.87262622,528.7727779,78.55636978,607.3291477,17.3366268,0.623365749,12.96876025,1.6652692,0.130266324,12.05501543,99.50426986,99.59774655,100,7.506477444,26.669866,15.26438783
10-11-2025,Site_1,99.73657389,99.8342694,744.7552018,93.483639,838.2388408,14.99269209,0.329299021,12.65772345,1.252139598,0.203642202,16.53334877,99.05459824,99.52581795,100,8.556541337,29.51387091,17.3858847
11-11-2025,Site_2,99.83915386,99.9877601,700.9257843,93.16948497,794.0952693,18.26336683,0.414610994,14.0575243,1.506949998,0.104720144,14.67576389,98.68777712,99.56868471,100,7.007334387,27.36321603,16.86617835
11-11-2025,Site_4,99.72335835,99.30571109,405.5402519,63.25425887,468.7945107,14.34251104,0.623192129,12.32991131,1.621463101,0.101887334,12.85006269,99.05305268,99.299487,100,6.663262759,26.46792771,13.02793443
